evidence_id,figure,claimed_origin,hop1,hop2,hop3,origin_reached,origin_type,circular_verdict,shared_origin_group,notes
E-3005,halving period of approvals per R&D dollar=9 years,OECD / Scannell lineage,https://www.oecd.org/en/publications/artificial-intelligence-in-science_a8d820bd-en/full-report/eroom-s-law-and-the-decline-in-the-productivity-of-biopharmaceutical-r-d_f42df75c.html,,,no,trade_press,unverifiable,,Tier 2. All hops terminate in trade_press material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-3006,projected R&D internal rate of return=7.0 %,Deloitte Centre for Health Solutions,https://www.deloitte.com/content/dam/assets-shared/docs/industries/life-sciences-health-care/2025/deloitte-measuring-return-from-pharmaceutical-innovation-2025.pdf,,,no,consultancy,unverifiable,,Tier 2. All hops terminate in consultancy material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-3007,R&D IRR excluding GLP-1/GIP=2.9 %,Deloitte Centre for Health Solutions,https://www.drugdiscoverytrends.com/deloitte-report-showed-pharma-returns-rising-to-7-glp-1s-did-most-of-the-work/,https://www.deloitte.com/content/dam/assets-shared/docs/industries/life-sciences-health-care/2025/deloitte-measuring-return-from-pharmaceutical-innovation-2025.pdf,,no,consultancy,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3008,Phase I success of AI-discovered molecules=21 count of 24,"Jayatunga MKP et al., Drug Discovery Today 29(6):104009, June 2024",https://www.sciencedirect.com/science/article/pii/S135964462400134X,,,partial,peer_reviewed,unverifiable,SOG-010,"ANCHOR 4 (AI Phase I 80-90 percent). Origin located and dated, but paywalled with no OA deposit; the Phase I denominator, Phase II denominator, company list and operational definition of AI-discovered are all undisclosed at origin. All five authors are Boston Consulting Group and the work was funded by BCG - S4 applies at origin, not merely in relay. Cross-agent: Agents B and C independently imported the same unresolvable origin. The number as repeated is FAITHFUL in value and UNFAITHFUL in use, because it is quoted as a success rate without its denominator. FORCE_LOW."
E-3010,reproducible landmark preclinical studies=11 %,Begley & Ellis,https://www.nature.com/articles/483531a,,,yes,peer_reviewed,clean,,"Tier 3. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s). Cross-agent recurrence: this source is cited by more than one agent, so any defect propagates."
E-3011,share of validation projects with inconsistent results=66 %,review citing Prinz et al. 2011,https://www.sciencedirect.com/science/article/abs/pii/S0165614715002515,https://www.nature.com/articles/nrd3439-c1,,partial,peer_reviewed,unverifiable,,"Tier 1. Collector flagged circular_risk. A primary-class hop is present, so the claim is attributable, but the collector could not confirm the figure at origin. FORCE_LOW."
E-3012,share of failures due to lack of efficacy=45 %,"Peer-reviewed review, 2024",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11187637/,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3015,qualified DDTs in ISTAND=0 count,IntuitionLabs (analytics vendor),https://intuitionlabs.ai/articles/organ-on-a-chip-fda-qualification,https://www.fda.gov/drugs/drug-alerts-and-statements/fdas-istand-pilot-program-accepts-submission-first-organ-chip-technology-designed-predict-human-drug,,partial,agency,unverifiable,,"Tier 1. Collector flagged circular_risk. A primary-class hop is present, so the claim is attributable, but the collector could not confirm the figure at origin. FORCE_LOW."
E-3016,liver-chip DILI sensitivity=87 %,IntuitionLabs citing Emulate validation data,https://intuitionlabs.ai/articles/organ-on-a-chip-fda-qualification,,,no,aggregator,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3017,compounds not replicating in ALS mouse model=100 count,review of translational failure cases,https://www.sciencedirect.com/science/article/abs/pii/S0165614715002515,,,yes,peer_reviewed,clean,,Tier 2. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3019,claimed human failure rate after animal testing=92.5 %,Advocacy relay of a 2006 statement by the HHS Secretary; no study of record,https://www.jhutoxicologypolicyresearch.org/tox-blog/blog45,,,no,trade_press,circular,,"TRACED BY X. The 90-95 percent animal-test failure claim has no primary study at origin. It relays a 2006 HHS speech and the denominator is documented as wrong: the 90 percent applies to the ~60 percent of candidates that pass preclinical, not to all candidates. Agent C correctly excluded it from the elasticity calculation. FORCE_LOW; must not be used as a load-bearing figure anywhere."
E-3020,sites under-enrolling or enrolling zero=48 %,"Tufts CSDD Impact Report, Jan/Feb 2012: ~16,000 sites, 151 Phase II/III trials, 10 sponsors and 2 CROs, data 2008-2010",https://www.dataally.ai/blog/clinical-trial-enrollment-statistics,https://csdd.tufts.edu/publications/impact-reports,,yes,consultancy,circular,SOG-021,"TRACED BY X. Agent C cites an aggregator page; Agent F cites the Applied Clinical Trials relay of the same 2012 Tufts Impact Report. Same origin, two agents, one traced and one not. Origin now reached: the data are 2008-2010 and the Impact Report full text is paywalled. S6 (outdated) applies: a 2008-2010 measurement is used by two agents to characterise 2026 site capacity. FORCE_LOW for C variants; F variant is clean on provenance and carries the same S6."
E-3021,Phase III daily conduct cost=55716 USD/day,"Tufts CSDD Impact Report, Jan/Feb 2012: ~16,000 sites, 151 Phase II/III trials, 10 sponsors and 2 CROs, data 2008-2010",https://www.dataally.ai/blog/clinical-trial-enrollment-statistics,https://csdd.tufts.edu/publications/impact-reports,,yes,consultancy,circular,SOG-021,"TRACED BY X. Agent C cites an aggregator page; Agent F cites the Applied Clinical Trials relay of the same 2012 Tufts Impact Report. Same origin, two agents, one traced and one not. Origin now reached: the data are 2008-2010 and the Impact Report full text is paywalled. S6 (outdated) applies: a 2008-2010 measurement is used by two agents to characterise 2026 site capacity. FORCE_LOW for C variants; F variant is clean on provenance and carries the same S6."
E-3022,oncology sites enrolling zero participants=20 %,Applied Clinical Trials,https://www.appliedclinicaltrialsonline.com/view/inside-recruitment-bottlenecks-driving-trial-delays,,,no,trade_press,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3023,cancer patient participation in research studies=7 %,Unger et al.,https://ascopubs.org/doi/10.1200/JCO.23.01030,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3024,non-enrollment due to no trial available locally=56 %,Unger et al.,https://academic.oup.com/jnci/article/113/3/244/5918345,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3025,industry-to-federal enrollment ratio=9.6 ratio,Unger et al.,https://ascopubs.org/doi/10.1200/JCO.24.00843,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3026,patients screened per platform trial=6000 count,academic review authors,https://pmc.ncbi.nlm.nih.gov/articles/PMC7446374/,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3027,samples screened per enrolled patient=65 ratio,Applied Clinical Trials,https://www.appliedclinicaltrialsonline.com/view/enhancing-enrollment-in-biomarker-driven-oncology-and-rare-disease-trials,,,no,trade_press,unverifiable,,Tier 2. All hops terminate in trade_press material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-3029,novel drugs and biologics approved=53 count/yr,The FDA Group,https://insider.thefdagroup.com/p/fda-drug-reviews-held-steady-in-2025,,,no,trade_press,circular,SOG-022,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3030,on-time approval rate=78 %,"The FDA Group, citing RBC analysis",https://insider.thefdagroup.com/p/fda-drug-reviews-held-steady-in-2025,,,no,trade_press,circular,SOG-022,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3031,FDA staff terminated=3500 count,"Skadden, Arps (law firm analysis)",https://www.skadden.com/insights/publications/2025/04/trump-administrations-first-100-days/mass-layoffs-at-fda,,,no,company,unverifiable,,Tier 2. All hops terminate in company material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-3032,median indication approval lag vs FDA=344 days,academic authors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10654631/,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3033,"median China approval lag, rare disease drugs=1.4 years",academic authors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12750715/,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3034,autologous CAR-T manufacturing failure rate=25 %,Ceppi et al. / ASH,https://pmc.ncbi.nlm.nih.gov/articles/PMC10788849/,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3035,COGS per autologous CAR-T dose=95780 USD/dose,Cell Press authors,https://www.sciencedirect.com/science/article/pii/S2950329925000499,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3036,clinical viral vector demand CAGR=4 %,Latham BioPharm Group / Sia Partners,https://www.bioprocessintl.com/facilities-capacity/modeling-viral-vector-capacity-healthy-growth-by-2031,,,no,trade_press,unverifiable,,Tier 2. All hops terminate in trade_press material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-3037,CDMO sites closed=6 count of 10,IntuitionLabs,https://intuitionlabs.ai/articles/viral-vector-cdmo-comparison,,,no,aggregator,circular,SOG-023,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3038,candidates securing a manufacturing slot=60 %,academic authors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10436079/,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3039,ADC candidates in Phase III=41 count,PharmaSource (industry media),https://pharmasource.global/content/antibody-drug-conjugates-adc-contract-manufacturing-market/,,,no,consultancy,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3040,systemic AAV dose=100000000000000.0 vector genomes/patient,IntuitionLabs,https://intuitionlabs.ai/articles/viral-vector-cdmo-comparison,,,no,aggregator,circular,SOG-023,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3041,average vein-to-vein time=6.5 weeks,academic authors,https://pmc.ncbi.nlm.nih.gov/articles/PMC11235344/,,,yes,peer_reviewed,clean,SOG-024,"Tier 3. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s). Cross-agent recurrence: this source is cited by more than one agent, so any defect propagates."
E-3042,brain accumulation of injected dose=2.23 % ID,academic authors,https://pubmed.ncbi.nlm.nih.gov/40080657/,,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3043,fold increase in brain LNP delivery=10 fold,academic authors,https://www.biorxiv.org/content/10.1101/2025.01.23.634427v1.full,,,yes,preprint,clean,,Tier 4. Origin reached but it is a preprint and has not passed peer review; treat the figure as provisional.
E-3045,share of failures due to toxicity=30 %,peer-reviewed review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11187637/,,,yes,peer_reviewed,clean,SOG-025,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3047,share of post-launch withdrawals due to toxicity=66 %,peer-reviewed review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11187637/,,,yes,peer_reviewed,clean,SOG-025,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3048,malignancy rate in trial participants=15 %,Fierce Pharma,https://www.fiercepharma.com/pharma/fda-restricts-bluebird-bio-gene-therapy-skysona-after-blood-cancer-reports,,,no,trade_press,unverifiable,,Tier 2. All hops terminate in trade_press material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-3049,automated throughput=6048 samples/day,academic review,https://royalsocietypublishing.org/rsos/article/12/7/250646/235354/Autonomous-self-driving-laboratories-a-review-of,,,no,company,unverifiable,,Tier 4. All hops terminate in company material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-3050,unmet NHP requests=66 %,Animal Welfare Institute,https://awionline.org/awi-quarterly/spring-2025/primates-context-outsized-demand-monkeys-reshapes-research-landscape,,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3053,distinct compounds in ChEMBL 36=2800000 count,EMBL-EBI,https://www.embl.org/news/updates-from-data-resources/chembl-36/,,,no,company,unverifiable,,Tier 4. All hops terminate in company material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-3054,protein-ligand complexes with affinity and structure=6999 count,academic authors,https://pubs.acs.org/doi/10.1021/acs.jpcb.5c08598,https://arxiv.org/html/2308.09639v2,,partial,preprint,unverifiable,,"Tier 1. Collector flagged circular_risk. A primary-class hop is present, so the claim is attributable, but the collector could not confirm the figure at origin. FORCE_LOW."
E-3057,seed and Series A capital deployed=8.7 USD billions/yr,BioSpace citing PitchBook,https://www.biospace.com/business/early-stage-biotechs-suffer-in-2025-as-vc-shuns-risk-pitchbook,,,no,trade_press,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3058,quarterly biopharma venture financing=6.5 USD billions,GlobalData,https://finance.yahoo.com/news/biopharma-venture-financing-declines-20-143703097.html,,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3059,decline in small-molecule investment=68 %,industry-sponsored research,https://www.businesswire.com/news/home/20250414889185/en/New-Research-Reveals-the-Devastating-Impact-of-the-Inflation-Reduction-Acts-Pill-Penalty-on-Small-Molecule-Medicines,,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3060,Roctavian 2025 net sales=36 USD millions,BioMarin Pharmaceutical,https://www.biomarin.com/news/company-statements/biomarin-voluntarily-withdraws-roctavian-from-the-market/,https://intuitionlabs.ai/articles/gene-therapy-pricing-economics,,no,aggregator,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3061,public biotechs with under two years cash=50 %,K38 Consulting (advisory blog),https://k38consulting.com/biotech-15/,,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3065,average first-action pendency=22.6 months,USPTO,https://www.uspto.gov/about-us/news-updates/uspto-turns-corner-unexamined-patent-application-backlog-reduction,,,yes,agency,clean,,Tier 4. Deepest hop resolves to a agency source; origin reached in 1 hop(s).
E-3066,time to fill AI/ML roles=5 months,IntuitionLabs,https://intuitionlabs.ai/articles/pharma-ai-skills-gap,,,no,aggregator,circular,SOG-026,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3067,year-on-year growth in AI job postings=77 %,IntuitionLabs,https://intuitionlabs.ai/articles/pharma-ai-skills-gap,,,no,aggregator,circular,SOG-026,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3068,roles eliminated at two large employers=22500 count,Panda International (recruiter),https://www.panda-int.com/insights/pharma-and-biotech-hiring-in-2026-the-challenges-the-hardest-to-fill-roles-and-the-funding-reality/,,,no,aggregator,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3069,days allotted to revise synthesis screening framework=90 days,Congressional Research Service via Legis1,https://legis1.com/news/ai-biosecurity-risks-and-outpace-federal,,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3070,biological AI tools with any safeguards=3 %,Council on Strategic Risks,https://councilonstrategicrisks.org/2025/12/22/2025-aixbio-wrapped-a-year-in-review-and-projections-for-2026/,,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3072,biomarkers qualified through BQP=11 count,Friends of Cancer Research authors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12753548/,,,yes,peer_reviewed,clean,SOG-027,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3073,median QP development time for surrogate endpoints=47 months,Friends of Cancer Research authors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12753548/,,,yes,peer_reviewed,clean,SOG-027,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-3074,years between prior qualification and 2025 qualifications=7 years,Foundation for the NIH,https://www.businesswire.com/news/home/20251219872991/en/FNIH-Announces-FDA-Qualification-of-First-Surrogate-Endpoint-for-Use-in-Osteoporosis-Clinical-Trials,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12753548/,,yes,peer_reviewed,clean,,Tier 2. Deepest hop resolves to a peer_reviewed source; origin reached in 2 hop(s).
E-3075,procedures per Phase III protocol=301 count,Clinical Trial Vanguard reporting Tufts CSDD,https://www.clinicaltrialvanguard.com/conference-coverage/tufts-csdd-new-insights-on-the-clinical-trial-industry/,https://csdd.tufts.edu/publications/impact-reports,,no,consultancy,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3076,procedures not supporting primary or key secondary endpoints=33 %,TransCelerate BioPharma / Tufts CSDD,https://www.prnewswire.com/news-releases/transcelerate-and-tufts-csdd-uncover-opportunities-to-rethink-data-collection-and-optimize-protocol-design-302556373.html,,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3077,increase in enrollment duration=36.9 %,CRIO citing Tufts CSDD,https://clinicalresearch.io/blog/the-rising-complexity-of-study-design/,https://csdd.tufts.edu/publications/impact-reports,,no,consultancy,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3078,protocol amendments per Phase III trial=3.5 count,CRIO citing Tufts CSDD,https://clinicalresearch.io/blog/the-rising-complexity-of-study-design/,,,no,company,circular,,"Tier 1. Collector flagged circular_risk and no hop reaches a primary, agency, registry or filing source within three hops. FORCE_LOW."
E-3081,improvement elasticity=10.0 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3012,E-3010,E-3011,E-3002. Formula stated."
E-3082,improvement elasticity=4.0 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3015,E-3017,E-3019,E-3045. Formula stated."
E-3083,improvement elasticity=2.5 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3020,E-3021,E-3022,E-3024. Formula stated."
E-3084,improvement elasticity=1.2 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3026,E-3027,E-3028. Formula stated."
E-3085,improvement elasticity=0.4 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3001,E-3004,E-3029,E-3030,E-3031. Formula stated."
E-3086,improvement elasticity=1.8 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3034,E-3035,E-3036,E-3038,E-3039,E-3040,E-3041. Formula stated."
E-3087,improvement elasticity=3.0 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3042,E-3043,E-3044. Formula stated."
E-3088,improvement elasticity=6.0 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3045,E-3046,E-3047,E-3048. Formula stated."
E-3089,improvement elasticity=0.9 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3049,E-3050,E-3051,E-3052. Formula stated."
E-3090,improvement elasticity=1.0 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3053,E-3054,E-3055,E-3056. Formula stated."
E-3091,improvement elasticity=6.0 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3007,E-3057,E-3058,E-3059,E-3060,E-3061. Formula stated."
E-3092,improvement elasticity=0.3 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3062,E-3063,E-3064,E-3065. Formula stated."
E-3093,improvement elasticity=0.6 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3066,E-3067,E-3068. Formula stated."
E-3094,improvement elasticity=0.1 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3069,E-3070,E-3071. Formula stated."
E-3095,improvement elasticity=3.0 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3072,E-3073,E-3074. Formula stated."
E-3096,improvement elasticity=2.0 % change in annual approvals per 10% factor improvement,Agent C,derived: no URL,,,yes,derived,clean,SOG-003,"Tier 4. Derived record: origin is its own input evidence IDs E-3075,E-3076,E-3077,E-3078. Formula stated."
E-4001,statutory amendment enacted=1 statute,U.S. Congress,https://www.congress.gov/bill/117th-congress/senate-bill/5002,https://www.hklaw.com/en/insights/publications/2025/04/fda-announces-plan-to-phase-out-animal-testing-requirement,,partial,company,clean,,"Tier 4. Deepest hop is company, but an earlier hop reaches a primary-class source, so the origin chain is intact through the relay."
E-4002,interim final rule deadline after enactment=12 months,U.S. Congress,https://www.congress.gov/bill/119th-congress/house-bill/2821/text,https://www.fiercebiotech.com/cro/us-house-passes-bill-direct-fda-update-clinical-trial-regulations-and-allow-non-animal-testing,https://buchanan.house.gov/2026/07/21/house-passes-fda-modernization-act-3-0-building-on-landmark-reforms-led-by-congressman-buchanan/,partial,company,clean,,"Tier 4. Deepest hop is company, but an earlier hop reaches a primary-class source, so the origin chain is intact through the relay."
E-4003,ISTAND submissions accepted=8 submissions,FDA CDER,https://www.fda.gov/news-events/fda-voices/fda-advances-drug-development-innovation-establishing-istand-permanent-qualification-program,https://www.fda.gov/drugs/drug-development-tool-ddt-qualification-programs/innovative-science-and-technology-approaches-new-drugs-istand-program,,yes,agency,clean,,Tier 4. Deepest hop resolves to a agency source; origin reached in 2 hop(s).
E-4004,AI drug development tools formally qualified=1 tools,FDA Office of the Commissioner,https://www.fda.gov/news-events/press-announcements/fda-achieves-year-1-goals-reducing-animal-testing-drug-development,https://www.spencerfane.com/insight/fda-reports-meeting-year-one-goals-for-reducing-animal-drug-testing/,,partial,trade_press,clean,,"Tier 4. Deepest hop is trade_press, but an earlier hop reaches a primary-class source, so the origin chain is intact through the relay."
E-4005,roadmap scope order=1 modality first (mAb),FDA / NIH,https://www.fda.gov/media/186092/download,https://link.springer.com/article/10.1186/s13287-026-05090-6,,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 2 hop(s).
E-4006,routine chronic NHP study duration removed=6 months,FDA CDER/CBER,https://www.fda.gov/media/191986/download,https://www.spencerfane.com/insight/fda-reports-meeting-year-one-goals-for-reducing-animal-drug-testing/,,partial,trade_press,clean,,"Tier 4. Deepest hop is trade_press, but an earlier hop reaches a primary-class source, so the origin chain is intact through the relay."
E-4007,NAM validation principles=4 principles,FDA,https://www.spencerfane.com/insight/fda-reports-meeting-year-one-goals-for-reducing-animal-drug-testing/,https://www.fda.gov/science-research/science-and-research-special-topics/new-approach-methodologies-nams,,yes,agency,clean,,Tier 4. Deepest hop resolves to a agency source; origin reached in 2 hop(s).
E-4008,database status=1 live database,FDA CDER,https://www.spencerfane.com/insight/fda-reports-meeting-year-one-goals-for-reducing-animal-drug-testing/,,,partial,trade_press,clean,,"Tier 4. Deepest hop is trade_press, but an earlier hop reaches a primary-class source, so the origin chain is intact through the relay."
E-4009,focus toxicology study duration=3 months,FDA,https://www.fda.gov/news-events/press-announcements/fda-achieves-year-1-goals-reducing-animal-testing-drug-development,,,yes,agency,clean,,Tier 4. Deepest hop resolves to a agency source; origin reached in 1 hop(s).
E-4010,weight-of-evidence factors=6 factors,ICH S1 Expert Working Group,https://www.fda.gov/media/152777/download,https://database.ich.org/sites/default/files/ICHS1B(R1)_Step4_Presentation_2022_0809.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11043531/,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 3 hop(s).
E-4011,ICH step reached=4 step,International Council for Harmonisation,https://database.ich.org/sites/default/files/ICH_M15_Step4_Final_Guideline_2026_0129.pdf,https://www.federalregister.gov/documents/2026/06/03/2026-11112/m15-general-principles-for-model-informed-drug-development-international-council-for-harmonisation,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-m15-guideline-general-principles-model-informed-drug-development-step-5_en.pdf,yes,agency,clean,,Tier 4. Deepest hop resolves to a agency source; origin reached in 3 hop(s).
E-4012,regulatory domains covered=15 domains,DG GROW / European Commission,https://single-market-economy.ec.europa.eu/document/download/dff698bf-4852-4898-9f0d-7878382fbff6_en?filename=C_2026_3497_F1_COMMUNICATION_FROM_COMMISSION_EN_V4_P1_4771149.PDF,https://ec.europa.eu/commission/presscorner/detail/en/ip_26_1214,https://www.raps.org/resource/eu-publishes-roadmap-to-reduce-reliance-on-animal-testing.html,partial,trade_press,clean,,"Tier 4. Deepest hop is trade_press, but an earlier hop reaches a primary-class source, so the origin chain is intact through the relay."
E-4013,credibility framework steps=7 steps,FDA CDER/CBER,https://www.federalregister.gov/documents/2025/01/07/2024-31542/considerations-for-the-use-of-artificial-intelligence-to-support-regulatory-decision-making-for-drug,https://www.fda.gov/about-fda/center-drug-evaluation-and-research-cder/artificial-intelligence-drug-development,https://onlinelibrary.wiley.com/doi/10.1155/joch/5202999,yes,peer_reviewed,clean,,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 3 hop(s).
E-4014,submissions with AI components=500 submissions (>=),FDA CDER,https://www.fda.gov/about-fda/center-drug-evaluation-and-research-cder/artificial-intelligence-drug-development,https://www.statnews.com/2025/01/06/artificial-intelligence-use-drug-development-fda-draft-guidance/,https://www.pharmexec.com/view/fda-issues-new-recommendations-artificial-intelligence-support-regulatory-actions,partial,company,clean,,"Tier 4. Deepest hop is company, but an earlier hop reaches a primary-class source, so the origin chain is intact through the relay."
