agent,item,queries_tried,failure_reason,alt_sources_tried,best_estimate,best_estimate_basis
C,"U-1 Per-phase capitalised cost shares (Phase I/II/III/preclinical) with disclosed methodology, needed for the capital-channel coefficient c",1) 'clinical trial cost by phase per patient 2024 2025'; 2) 'Deloitte Measuring the return from pharmaceutical innovation 2025 IRR top 20 biopharma R&D internal rate of return average cost per asset'; 3) 'Eroom's law reversal 2024 2025 R&D productivity return on investment Deloitte pharma IRR new drug approvals per billion dollars trend'; 4) 'clinical trial protocol complexity Tufts CSDD 2024 2025 number of endpoints procedures trial duration trend increasing cycle time phase',"Deloitte's series reports IRR and cost per asset at aggregate level only; the phase-level decomposition sits behind the paywalled full report and behind Tufts CSDD Impact Reports. The DiMasi/Tufts lineage figures that do circulate are the contested capitalised totals, not audited phase shares, and their per-phase splits could not be traced to origin within three hops.","1) Deloitte 'Measuring the return from pharmaceutical innovation 2025' PDF landing page (aggregate IRR only, no phase split); 2) Tufts CSDD Impact Reports index page (titles only, reports not open access); 3) Drug Discovery Today benchmarking paper on FDA approvals 2006-2022 (reports LoA by company, not cost by phase); 4) BioProcess International and DCAT industry coverage (no phase-level cost tables)",Phase III ~30-40% of capitalised clinical cost; Phase II ~20-25%; Phase I ~10-15%; preclinical+discovery ~15-25%; regulatory review ~3%,"Anchored on the one hard sourced datum recovered, Tufts CSDD Phase III conduct cost of $55,716 per day [E-3021], combined with the 9.1-year median clinical span [E-3004] and the standard observation that Phase III is the longest and largest phase. Bounds set wide (+/-10 percentage points on the Phase III share). Effect on this agent's output is confined to capital-channel terms and is roughly +/-30% on those terms; probability-channel elasticities (B1, B2, B8, B10) are unaffected, so the top-3 ranking does not move under either bound."
C,"U-2 A published, peer-reviewed elasticity of annual drug approvals with respect to any single pipeline factor",1) 'clinical trial success rates by phase 2025 probability of success Phase II efficacy failure reasons'; 2) 'Eroom's law reversal 2024 2025 R&D productivity return on investment Deloitte pharma IRR new drug approvals per billion dollars trend'; 3) 'clinical development time trend 2015 2024 median duration first-in-human to approval increasing years oncology cycle time analysis'; 4) 'attrition reasons drug development safety toxicity percentage of failures 2024 analysis clinical trial terminations safety versus efficacy 4 Rs pharma',"No such elasticity appears to have been published. The literature reports levels (success rates, costs, durations) and occasionally first differences, but not partial derivatives of system output with respect to a named factor. This is an absence in the field, not a retrieval failure; the assignment anticipated it and required construction instead.","1) OECD chapter on Eroom's Law (describes the aggregate productivity trend, offers no factor-level elasticity); 2) Drug Discovery Today benchmarking of 18 companies (LoA levels by firm, no elasticity); 3) Nature Reviews Drug Discovery attrition analysis across four companies (attribution shares, no elasticity); 4) Deloitte innovation-return series (IRR levels and drivers, no elasticity)","All sixteen elasticities in this report are constructed, not retrieved; ranges are 0.0-15% per 10% factor improvement","Constructed with the two-channel model in derived record E-3080 and per-candidate records E-3081 through E-3096, each stating its f, theta, c, tau and delta assumptions explicitly so that Agent R and Agent X can re-derive or contest any single number. Non-additivity and the Amdahl ceiling are logged separately as E-3097 and E-3098 so the ranking cannot be misread as a summable budget."
C,"U-3 Modality-resolved share of the active clinical pipeline (cell/gene vs antibody vs ADC vs small molecule vs RNA vs vaccine), needed to weight B6 exactly",1) 'viral vector CDMO capacity utilization 2025 gene therapy manufacturing bottleneck cost of goods autologous CAR-T manufacturing failure rate'; 2) 'ADC conjugation capacity shortage 2025 fill finish sterile capacity constraint CDMO waitlist bioconjugation slots'; 3) 'gene therapy withdrawn from market 2024 2025 commercial failure reimbursement bluebird Skysona Roctavian uptake payer access cell gene therapy launches'; 4) 'CAR-T manufacturing slot waiting list vein-to-vein time 2024 2025 patients died waiting apheresis capacity constraint',"Pipeline-composition counts by modality are published mainly by subscription trackers (Citeline, Evaluate, GlobalData). The open sources reached give modality counts only within a modality (e.g. 200+ ADCs, 41 in Phase III) and never the denominator of all clinical-stage programs, so a share cannot be computed without assuming the denominator.","1) BioProcess International / Latham BioPharm viral vector capacity model (batch counts, not program counts); 2) PharmaSource ADC contract manufacturing report (ADC counts only); 3) Oliver Wyman cell and gene therapy commercial landscape (commercial viability, no pipeline denominator); 4) FDA novel drug approvals 2025 page (approvals, not pipeline)",Cell and gene therapy = 10-15% of active clinical-stage programs; ADC = 5-8%; antibody = 20-25%; small molecule = 40-50%; RNA = 5-8%; vaccine = 3-5%,"Reconciled from the counts that were recovered: 200+ ADCs in clinical development against a commonly reported total clinical pipeline of the order of 4,000-6,000 programs implies roughly 4-5% for ADC, and cell/gene program counts are consistently reported at roughly twice to three times the ADC count. The B6 system-level elasticity of 0.8-1.8-3.5% was computed at a 12.5% cell/gene weight; substituting 10% gives 1.5% and 15% gives 2.2%, both inside the stated band, so the B6 rank of 9 is stable across the plausible range."
C,"U-4 Origin verification for the Tufts CSDD investigative-site productivity figures (48% under-enrolling / 1 in 10 enrolling zero) and the $55,716 per day Phase III conduct cost",1) 'clinical trial patient recruitment failure rate 2024 sites enroll no patients enrollment bottleneck statistics'; 2) 'number of clinical trials competing for same patients oncology 2025 trial oversupply eligible patient participation rate 5 percent cancer patients enroll'; 3) 'clinical trial protocol complexity Tufts CSDD 2024 2025 number of endpoints procedures trial duration trend increasing cycle time phase',"Both figures are reproduced by multiple secondary aggregators that cite Tufts CSDD without a retrievable primary document. The Tufts CSDD Impact Report series is not open access, so the sample definition (which trials, which years, how a site is counted as activated) could not be confirmed. Under M3 the missing denominator definition caps confidence; under M4 the repeated secondary citation without a reachable primary raises circular-reference risk, and both records are flagged circular_risk true in the ledger for Agent R. STATUS AT STEP 6: partially closed. Agent F reached the same site-productivity conclusions from a non-overlapping source set (0.4 patients per site per month in industry Phase III, halved in four years; 35-61% annual site-staff turnover; unique FDA-regulated investigators -48% from 1999 to 2015), and Agent X added global investigator -9% and coordinator -28% over six years. Five independent restatements now agree and none contradicts. The primary Tufts CSDD Impact Report remains paywalled, so the sample definition is still unconfirmed and the circular_risk flag stays set on E-3020 and E-3021.","1) Tufts CSDD Impact Reports index at csdd.tufts.edu (titles listed, no full text); 2) Applied Clinical Trials coverage of recruitment bottlenecks (independent restatement, same underlying attribution); 3) Clinical Trial Vanguard conference coverage of Tufts CSDD (independent restatement of the protocol-complexity series, corroborates the source's existence and methodology style); 4) CRIO analysis citing Tufts CSDD for the 2010-2020 cycle-time deltas (fourth independent restatement)","Figures retained as reported: ~48% of activated sites under-enrol or enrol nobody; Phase III conduct ~$55,716 per calendar day (2024)","Four independent secondary restatements agree on both values and none contradicts them, and the oncology-specific figure from a different source (60% of sites enrolling fewer than five, over 20% enrolling none, [E-3022]) is directionally consistent with the 48% figure. That cross-consistency supports retaining the numbers while flagging origin as unverified. B3's elasticity does not hinge on the exact value: dropping the queueing multiplier entirely moves the B3 point estimate from 2.5% to about 1.8%, which leaves its rank of 7 unchanged. At STEP 6 the dependence is smaller still: B3's elasticity was cut to 0.6 on Agent D's model result rather than on these figures, so the ranking no longer turns on them at all."
C,"U-5 The pass-through coefficient theta for every probability-channel candidate, and the overlap coefficient rho between B1, B2, B8 and B10",1) 'clinical trial success rates by phase 2025 probability of success Phase II efficacy failure reasons'; 2) 'attrition reasons drug development safety toxicity percentage of failures 2024 analysis'; 3) 'Phase 2 to Phase 3 dose selection endpoint selection population selection cause of Phase 3 failure percentage analysis clinical development design decisions'; 4) 'Phase 3 oncology failures wrong dose wrong endpoint wrong population analysis proportion avoidable design errors 2024 2025',"No published study estimates what fraction of a named attrition class is removed by a given proportional improvement in the upstream factor, for any factor. The literature attributes failures to causes and stops there. theta is therefore a construction in both this analysis and Agent D's, and rho is explicitly calibrated to my stated band rather than measured - Agent D flags it as the least-supported quantity in its model and I flag it as the least-supported quantity in mine. This is a shared, acknowledged weak point across two independent analyses, not a discrepancy between them.","1) Nature Reviews Drug Discovery four-company attrition analysis (attribution shares only); 2) Chemical Research in Toxicology 2024 review (attribution shares only); 3) JNCCN empirical Bayes analysis of 362 Phase III oncology trials (error rates, not pass-through); 4) Agent D's model assumptions document section 8, which reaches the same conclusion independently",theta = 0.10-0.45 depending on candidate and observability; rho = 0.60,"theta bands are set per candidate on how directly the improvement is observable before the readout that measures it: lowest for B1 (target validity is unverifiable until Phase II reads out), highest for B17 (dose and endpoint choices are observable at the moment they are made). rho = 0.60 is Agent D's calibration to my 11-26% joint band against a 21% naive sum; the resulting 30.5% overcount is stable across both the budget-binding and budget-free cases, which is weak evidence that the coefficient is not doing all the work. Sensitivity: halving every theta halves every probability-channel elasticity proportionally and leaves the ordering of B1, B8, B17 and B2 unchanged, because they share the parameter."
C,U-6 The true improvement-side elasticity of capital (B11) - whether Agent D's zero is real or an artefact of its exogenous-capital assumption,1) 'biotech venture capital funding 2025 decline clinical stage companies cash runway IRA pill penalty pricing impact on R&D investment'; 2) 'Deloitte Measuring the return from pharmaceutical innovation 2025 IRR top 20 biopharma R&D internal rate of return average cost per asset'; 3) 'Eroom's law reversal 2024 2025 R&D productivity return on investment Deloitte pharma IRR new drug approvals per billion dollars trend',"The two available estimates disagree in a way the evidence cannot presently settle. Agent D's flow model returns zero additional approvals for a 50% budget increase, but D lists capital as exogenous with no feedback from returns onto budget, and tests only a 50% increment - far outside the roughly 11% headroom that exists on the first-binding shared input, so the test cannot distinguish 'capital does nothing' from 'capital saturates a physical cap almost immediately'. Red-team X-10 independently reports abundant deployable capital declining the novel bet, which supports the low estimate from a different direction. No natural experiment isolating a marginal capital increment against fixed physical capacity was found.","1) Agent D's tornado analysis and scenario set (zero upside at +50%, -46% at -20%); 2) red-team X-10 with about USD 1.3 trillion deployable at the top 25 pharmaceutical companies against novel-target entry falling to about 30 per year; 3) the interrupted time-series on post-IRA trial starts (-11.4 immediate, -1.2 per month), which measures the downside direction only; 4) Deloitte's ex-incretin return series at 2.9%, which measures the return rather than the elasticity",Improvement side 0.0-0.8-3.0 percent per 10% more capital; downside approximately -23 percent of approvals per 10% budget reduction,"The asymmetry is the finding and it is better supported than either single number. The downside estimate comes straight from D's tornado (-20% budget gives -46% approvals, elasticity about 2.3) and is corroborated in sign and rough size by the post-IRA interrupted time-series. The improvement-side point of 0.8 is set near D's zero but not at it, because D's exogenous-capital assumption is explicit and because roughly 11% headroom exists on GMP plasmid at u = 0.90 before the first physical cap binds; a 10% increment plausibly fits inside that headroom in a way a 50% increment cannot. The band spans D's zero at the bottom and my original near-linear reading at the top, so a reader who prefers either analysis can read their own answer off the row. B11's rank of 8 is stable anywhere in the band below about 2.6, which covers most of it."
D,"U-D1 Per-stage cost data published after 2010 that resolves discovery into three separate stages (target-to-hit, hit-to-lead, lead optimisation) with a cost per work-in-process unit",Paul 2010 'How to improve R&D productivity' cost per WIP target-to-hit hit-to-lead lead optimization preclinical phase I cost table | per-stage drug discovery cost target identification hit to lead lead optimization USD million per project | pharmaceutical R&D model cost per WIP by phase 2020 2024 update of Paul model | Sertkaya 2024 nonclinical stage cost breakdown discovery | PhRMA functional R&D spending split pre-human by discovery sub-stage,"No source published after 2010 was located that decomposes discovery into three costed stages. Every modern stage-cost source recovered by Agent A (Sertkaya 2024 E-1012, DiMasi 2016 E-1004, ASPE E-1052, PhRMA E-1042) treats all pre-human work as a single line. Agent C independently recorded the same gap as her UNRESOLVED U-1.","(1) Sertkaya et al. 2024 per-stage cost table via Agent A's E-1012 row - nonclinical is one line, 11.8 USD m. (2) PhRMA 2022 functional split via E-1042 - pre-human is one line, 15.9 percent. (3) Wouters 2020 filings-based preclinical share via E-1007 - one line, 12.4 percent median. (4) ASPE per-study cost ranges via E-1052 - clinical phases only. (5) Direct WebFetch of the Nature Reviews Drug Discovery article page and the Rutgers-hosted PDF, plus a stream-decompression text extraction of the PDF, which succeeded and yielded the 2010 table in full.","Discovery cost per WIP unit: target-to-hit 1.0, hit-to-lead 2.5, lead optimisation 10.0 USD million (2008-era dollars)","E-9001, recovered in full from the publisher-hosted PDF text layer and internally consistent with that paper's own published totals (873 out-of-pocket and 1,778 capitalized per launch), which the model reproduces to 0.02 percent [E-9025]. The dating problem is handled by sweeping the single largest cost term, Phase III cost per WIP, across the full modern published range 89.3-245.8 USD million [E-1012][E-1004] in the tornado, where it ranks 12 of 26 with a swing of 6.57 approvals a year."
D,"U-D2 Measured utilisation rate (not lead time, not market size) for aseptic fill-finish lines and for ADC bioconjugation suites",sterile injectable fill-finish capacity shortage lines number global 2025 utilization percent | aseptic filling line utilization rate CDMO disclosed capacity | ADC bioconjugation suite utilization booking lead time 2025 2026 | fill finish capacity utilisation percent biologics 2026 | number of aseptic fill finish lines worldwide,"No CDMO or industry body publishes a utilisation figure for either sub-area. Every source located reports market size in USD and a CAGR, which is a revenue measure and cannot be converted into a capacity utilisation. Agent G reached exactly the same wall independently and recorded it as UNRESOLVED, stating that L.E.K.'s fill-finish analysis fetched in full discloses no capacity, no utilization, no CAGR, no gap and no lead time.","(1) MarketsandMarkets / GlobeNewswire fill-finish market reports - USD 18.12 bn 2025 growing 9.0 percent CAGR; revenue only, no utilisation. (2) Roots Analysis aseptic fill-finish market report - same limitation. (3) Drug Discovery News sterile fill-finish operations feature - qualitative, notes multi-year expansion lag and format non-interchangeability. (4) Agent G's cmc_capacity.csv rows G-020, G-023, G-101, G-110, G-111 and the derivation records E-6065, E-6066 - these carry G's uniform lead-time-to-utilisation proxy rule rather than a measurement, which G states explicitly.","Aseptic fill-finish baseline utilisation 0.85 (saturation multiple 1.12x); ADC bioconjugation baseline utilisation 0.80 (1.19x now, 1.67x after announced expansion)","E-6066 and E-6065, Agent G's proxy rule applied uniformly across all sub-areas so that the ordering it produces is more trustworthy than any individual value. Both parameters are swept 0.8-2.0x in the tornado; fill-finish ranks 15 of 26 (swing 3.89 approvals) and ADC conjugation does not enter the top 20, so neither is load-bearing on the constraint-migration conclusion. The load-bearing fact for fill-finish is not the multiple but the 2.5-3 year build-and-qualify lag [E-6019], which the steady-state model cannot represent at all and which is listed as limitation 1 in model_assumptions.md section 10."
D,"U-D3 Absolute annual capacity of IND-enabling non-human-primate toxicology studies, in studies or animals per year",nonhuman primate supply IND-enabling toxicology studies capacity per year cynomolgus 2025 2026 | number of NHP toxicology studies conducted annually contract research organization | cynomolgus macaque annual import supply United States research 2024 2025 | GLP toxicology study capacity per year CRO non-human primate slots | research monkey supply shortage quantified studies delayed,"No source publishes a capacity figure in study-slots or animals per year. Available data are market size in USD, a species-share percentage, a breeding lead time, and one qualitative statement about unfilled requests. The IQ DruSafe industry survey on NHP use in oncology nonclinical packages is behind a ScienceDirect paywall.","(1) Intel Market Research and PW Consulting laboratory NHP market reports - USD 1,500 m in 2025, cynomolgus 79 percent, 4-5 year breeding lag; no capacity. (2) IQ DruSafe survey on NHP use in oncology nonclinical packages (ScienceDirect) - abstract only, paywalled. (3) Labcorp NHP toxicology service page - service description, no capacity. (4) Agent C's E-3050 and E-3051 - US National Primate Research Centers unable to fill up to two-thirds of requests since 2021, and most research primates consumed by IND-enabling toxicology. That is a shortfall ratio for academic centres, not an industry capacity level. (5) Charles River / Inotiv supply-chain commentary via search - acquisition activity, no capacity number.",Baseline utilisation 0.90; capacity growth 2.0 percent per year,"Utilisation 0.90 is set at the same level as the tightest measured GMP sub-capacities rather than at the >1.0 implied by a two-thirds unfilled request rate, because E-3050 measures academic-centre requests and not industry throughput, and adopting >1.0 would make the resource binding at baseline against all other evidence that the system is not currently capacity-bound. Growth 2.0 percent/yr is anchored on the 4-5 year cynomolgus breeding lag [E-9009], which is a biological floor on how fast supply can respond. This parameter ranks 4 of 26 in the tornado with a swing of 21.56 approvals a year, so it is genuinely load-bearing and the uncertainty is material; it is swept 0.7-1.5x and the S6b result that NHP toxicology binds first survives across that whole range."
D,"U-D4 A published overlap or correlation coefficient between the attrition mass addressed by target validation, preclinical translation, toxicity prediction and training-data quality (B1, B2, B8, B10)",drug development failure cause overlap correlation efficacy toxicity target validation shared attrition | joint effect of improving multiple failure modes drug attrition non-additive | portfolio model overlapping causes of clinical trial failure quantified | clinical trial failure attribution efficacy safety commercial percentages double counting,"No study quantifying the overlap between these failure classes exists in anything reached. The published failure-attribution literature assigns each failure to a single primary cause (efficacy 40-50 percent [E-3012], toxicity ~30 percent [E-3045]) and therefore cannot, by construction, measure how much a fix to one would also fix another. Agent C reached the same conclusion and logged the non-additivity as a caveat [E-3097] with a stated band rather than a coefficient.","(1) Agent C's E-3097 derivation record - states the 11-26 percent joint band against a 21 percent naive sum, but gives no coefficient. (2) Harrison 2016 and the four-company 2000-2010 attrition analysis via Agent C's E-3046 - single-cause attribution only. (3) Sun et al. 2022 review of drug failure reasons via E-3012 - single-cause attribution only. (4) Search of the portfolio-modelling literature for a multi-factor attrition model - nothing with a disclosed overlap term.",Overlap coefficient rho = 0.60 in q_joint = q_max + (1 - rho) x sum(other q),"E-9024. rho = 0.60 is calibrated so the model's joint effect (+14.42 percent) lands inside Agent C's stated 11-26 percent band while its naive sum (+20.76 percent) reproduces C's 21 percent. This is calibration to one published band, not measurement, and it is identified in model_assumptions.md section 8 as the least-supported quantitative choice in the model. Mitigation: the report gives the naive and joint numbers side by side in every case rather than only the joint one, so a reader who rejects rho can read the unadjusted figure directly."
D,"U-D5 CDER and CBER full-time-equivalent staffing series for every fiscal year 2015-2025, machine-readable",CDER staffing history full time equivalents 2015 2020 2024 FDA employees growth PDUFA | FDA CDER CBER net hiring data by fiscal year table | PDUFA financial report to Congress FTE table FY2020 FY2024 | FDA FY2025 PDUFA performance report staffing | CDER process FTE 2007 2014 2020,"Direct WebFetch of the FDA CDER/CBER net hiring data page returned HTTP 401 Unauthorized, as did the FDA financial-report PDFs. Agent E hit the same 401 wall on fda.gov paths and Agent F recorded HTTP 401 on every fda.gov path attempted for the IND receipt series. Two anchor values (FY2007 = 1,809 and FY2014 = 2,487 process FTE) were recovered only from search-result text describing the FY2016 PDUFA Financial Report, so the origin is one hop short of the primary document.","(1) fda.gov CDER/CBER net hiring data page - HTTP 401. (2) fda.gov FY2025 PDUFA Performance Report and Financial Report to Congress PDFs - HTTP 401. (3) congress.gov PDUFA reauthorization hearing witness statement (Marks, Feb 2022) - contains PDUFA VI hiring commitments (230 FTE target, 212 achieved) but not a level series. (4) Agent E's E-4019 - FY2025 end-state levels, CDER 5,044 (net -1,093) and CBER 1,339 (net -224), which is a level for one year and the year-on-year change, not a decade series.",Reviewer capacity growth 4.65 percent per year,"E-9006, computed as (2487/1809)^(1/7)-1 from the two recovered anchors, recorded with circular_risk true because the origin is a search-result description of an FDA report rather than the report itself. The parameter is used only as the reviewer-capacity growth rate in scenario S7. Its influence is bounded: reviewer capacity never becomes the binding constraint in any of the ten scenarios (maximum utilisation 0.88), and the tornado sweeps both reviewer resources 0.8-1.5x, ranking them 9th and 11th of 26. The conclusion that regulatory review is not the constraint does not depend on this number."
D,"U-D6 Patients enrolled per programme, resolved by modality and by phase",median enrollment per trial phase 1 phase 2 phase 3 number of participants clinicaltrials.gov analysis industry | average number of clinical trials per approved drug program phase 1 2 3 count per NDA | patients enrolled per approval by modality cell therapy gene therapy antibody small molecule | median enrollment cell therapy pivotal trial versus small molecule pivotal trial | number of patients per new drug approval pivotal trials NDA BLA enrolled participants,"The only per-approval enrolment measurement recovered is oncology-wide and not decomposed by modality (12,217 participants per FDA approval across 120 drugs, [E-9003]). The per-phase figures available (20-100, 100-300, 300-3,000) are conventional descriptive ranges published without a denominator, a sample or a distribution, not measurements. No source decomposes enrolment per programme by modality.","(1) PMC8132139 oncology enrolment-per-approval study, fetched in full - 12,217 per approval, 158,810 patients across 1,335 trials, 120 drugs, but oncology-only and not modality-resolved. (2) PLOS One 2008-2019 industry phase III recruitment metrics via Agent F's E-5001 to E-5006 - sites per trial, participants per site, recruitment duration, but not participants per programme by modality. (3) FDA drug review process pages - descriptive phase ranges only. (4) Citeline 2025 clinical trials roundup [E-9004] - trial counts, not enrolment. (5) Agent F's NCI-MATCH and screening-ratio records E-5028, E-5066, E-5067 - screening burden per enrolled patient, which is a different quantity.","Uniform across modalities: 60 patients in Phase I, 250 in Phase II, 1,800 in Phase III","E-9008, midpoints of the published descriptive ranges. Cross-check: 78.5 modelled Phase III programme starts per year x 1,800 = 141,000 participants against 289,129 measured industry phase III participants per year [E-5064], i.e. the novel-NME backbone is 49 percent of measured volume, which is consistent with the independently computed 57 percent IND-side share [E-9023]. The direction of the error from assuming uniformity is known and stated in model_assumptions.md section 4: rare-disease and biomarker-selected programmes need fewer patients but harder-to-find ones [E-3027][E-5028], so the model understates the clinical constraint for precision-medicine modalities. The Phase III value is swept 1,000-3,000 in the tornado, ranking 10 of 26 with a swing of 7.43 approvals a year."
D,"U-D7 Measured share of shared-resource demand attributable to non-novel-NME work (new indications, formulations, combinations, biosimilars, non-US-only programmes)",FDA CDER number of original NDA BLA submissions received per year 2023 2024 novel applications count | commercial IND submissions breakdown new molecular entity versus supplemental | share of clinical trials for new indications versus new molecular entities | number of active clinical trial sites worldwide growth 2015 2024 investigative sites count trend | industry phase III trials share novel drug versus label expansion,"FDA publishes approval counts by category but not submission counts split by NME versus non-NME, and fda.gov submission-statistics paths return HTTP 401 to the available tooling. No registry analysis recovered splits phase III patient volume by whether the programme concerns a new molecular entity.","(1) fda.gov NDA and BLA calendar year approvals page and the CDER Innovation Predictability Access report - approvals by category, not submissions by category. (2) Agent G's E-6031 - 1,139 CDER commercial IND receipts and 716 research INDs for CY2024, total 1,855, undifferentiated. (3) Agent E's E-4024 and E-4025 - 14,870 active INDs 2024 rising to 15,124 in 2025, growth 1.7 percent/yr, undifferentiated. (4) Agent F's E-5006 and E-5064 - 1,156,515 participants in completed industry phase III trials 2016-2019 and 289,129 per year, undifferentiated. (5) Citeline 2025 roundup [E-9004] - 10,503 phase I-III starts, undifferentiated.",Novel-NME backbone is 57 percent of observed commercial IND flow and 49 percent of measured phase III patient volume; the remainder is carried as fixed exogenous background load,"E-9023, derived by comparing the model's own calibrated flows against the two observed series: 654 modelled Phase I entries against 1,139 observed commercial INDs [E-6031] gives 57.4 percent, and 141,000 modelled phase III participants against 289,129 measured [E-5064] gives 48.9 percent. That two independently derived shares land within 9 percentage points of each other is the only corroboration available. This parameter ranks 5 of 26 in the tornado with a swing of 19.64 approvals a year, so it is one of the largest single uncertainties in the model and is reported as such rather than buried. The assumption that background load stays constant while NME load rises is optimistic: if AI compresses discovery for label-expansion work too, every capacity binds sooner than the model shows."
E,U-01 NMPA dedicated New Approach Methodology (NAM) programme or non-animal-methods policy instrument,WebSearch 'NMPA breakthrough therapy designation number granted 2025 China priority review MFDS GIFT global innovative products fast track Korea number designated' | WebSearch 'NMPA 2025 innovative drug approvals number 40 class 1 China CDE review timeline priority review 2026' | WebFetch english.nmpa.gov.cn/2025-10/14/c_1138494.htm | WebSearch 'European Commission roadmap phase out animal testing 2026 EMA 3Rs working party NAM EU pharmaceutical legislation revision non-animal methods' (used to check whether CN appears in comparative NAM coverage) | TOP-UP PASS: WebSearch 'China CDE staffing number reviewers 2024 NMPA ICH guideline implementation percentage adopted China ICH member 2017 transposition' | WebSearch 'NMPA China cell gene therapy CAR-T approvals number 2025 regulatory pathway CDE guideline conditional approval count' | WebSearch 'China CDE annual report 2025 number of IND applications accepted NDA accepted growth rate' | WebFetch cisema.com/news/drug-registration-cde-2024,No NMPA or CDE instrument dedicated to New Approach Methodologies was returned by any query. English-language NMPA portal coverage is limited to approval-process announcements; the Chinese-language CDE technical guideline index was not reachable through the available search index in this environment.,"(1) english.nmpa.gov.cn direct fetch - returned only the clinical trial review announcement, no NAM content; (2) Nature Reviews Drug Discovery 'Approvals by the China NMPA in 2025' - redirected to an authentication endpoint (HTTP 303) and could not be read; (3) DIA Global Forum '2025 NMPA Approvals' article - covers approval counts only, no NAM policy; (4) IntuitionLabs China NMPA regulatory guide - secondary aggregator, no NAM instrument named; TOP-UP: (5) ISPE Pharmaceutical Engineering 'Evolving China's Regulatory System in Alignment with ICH' (Mar 2024) - confirms ICH transposition but names no NAM programme; (6) cisema.com CDE 2024 report summary - HTTP 403 on direct fetch, search summary carries application counts only; (7) Freyr 'Navigating China's Faster Approval Pathways' - expedited pathways only","China most likely operates NAM acceptance through ICH implementation (S1B(R1) weight-of-evidence and M15 MIDD, both of which China is bound to as an ICH regulatory member) rather than through a standalone national NAM programme comparable to FDA ISTAND or the EC roadmap.","China joined ICH in 2017 and NMPA has systematically transposed ICH guidelines; ICH S1B(R1) was adopted in 2022 and ICH M15 reached Step 4 on 29 Jan 2026 with implementation obligations falling on all ICH regulatory members [E-4010][E-4011]. Absent any located national instrument, ICH transposition is the parsimonious explanation. Confidence in this estimate is deliberately low and it is not used to support any conclusion in the report. TOP-UP CONFIRMATION: NMPA joined ICH as a regulatory member in 2017 and sits on the ICH Management Committee (elected 2018, re-elected 2021) [E-4072], which makes ICH transposition the operative NAM route by construction. The estimate is now carried into the landscape CSV as an explicit CN NAM row flagged to this UNRESOLVED item rather than left blank."
E,U-02 NMPA / CDE published position on acceptance of AI-derived or AI-generated evidence in regulatory submissions,WebSearch 'FDA CDER statement AI-designed molecules generative AI drug candidates regulatory acceptance 2026 no special pathway' | WebSearch 'EMA reflection paper artificial intelligence medicinal product lifecycle 2024 AI workplan 2028 HMA' | WebSearch 'NMPA 2025 innovative drug approvals number 40 class 1 China CDE review timeline priority review 2026' | WebFetch english.nmpa.gov.cn/2025-10/14/c_1138494.htm | TOP-UP PASS: WebSearch 'China CDE staffing number reviewers 2024 NMPA ICH guideline implementation percentage adopted China ICH member 2017 transposition' | WebSearch 'EMA artificial intelligence workplan 2025-2028 deliverables guidance qualification opinion AI observatory 2026 progress' (comparative check of which agencies have published AI instruments),"No English-language NMPA or CDE guidance, technical guideline or reflection paper on AI in drug development was surfaced by any query. Results for AI-and-regulator queries were dominated by FDA and EMA material.","(1) english.nmpa.gov.cn - no AI content in the reachable announcement set; (2) Nature Reviews Drug Discovery China 2025 approvals article - authentication redirect, unreadable; (3) IntuitionLabs 'China NMPA Drug Approval Pathways: Regulatory Guide' (Apr 2026) - covers pathways and timelines, no AI evidence policy; (4) DIA Global Forum March 2026 NMPA approvals article - approval statistics only; TOP-UP: (5) ISPE ICH-alignment review - no AI content; (6) EMA 2025 AI Observatory report - covers EU regulators only; (7) IntuitionLabs China NMPA pathways guide (Apr 2026) - no AI-evidence instrument named","NMPA most likely has no binding AI-evidence acceptance instrument as of Aug 2026, and would assess AI-generated evidence case by case under existing technical review guidelines, consistent with FDA and EMA both still being at draft-guidance and reflection-paper level respectively.","FDA's framework was still draft 19 months after publication [E-4013] and EMA's is a non-binding reflection paper [E-4016]; no ICH AI guideline exists. It would be surprising for NMPA to be ahead of both. Not used to support any conclusion in the report. TOP-UP CONFIRMATION: the comparative picture is now firmer - EU has a reflection paper plus one CHMP AI qualification opinion but zero binding AI guidelines [E-4065][E-4066], the US has an unfinalised draft [E-4013], and Korea has a device-only instrument [E-4083]. No major agency has a binding AI-evidence guideline for medicines, so a Chinese absence is the expected state rather than an anomaly."
