stage_id,stage_name,modality,region,axis,metric,value,unit,spread_or_ci,cost_basis,coc_included,discount_rate,denominator_def,sample_desc,source_year,evidence_ids,notes
SYS,whole pipeline,not_decomposed,not_decomposed,C,total cost per launched NME,873,USD_million,NA,risk_adjusted,false,NA,"per launch, attrition-loaded",13 large pharma cos,2010,E-1019,NA
SYS,whole pipeline,not_decomposed,not_decomposed,C,total cost per launched NME,1778,USD_million,NA,capitalized,true,11.0,per launch,13 large pharma cos,2010,E-1019,NA
SYS,whole pipeline,not_decomposed,US,C,median cost per new drug,59.4,USD_million,NA,out_of_pocket,false,NA,median rather than mean; net of tax deductions and public subsidy; no cost of capital,"reanalysis of published DiMasi inputs, no new company data",2011,E-1010,"the low bound of the published range; recorded for parallel presentation, not averaged with the others"
SYS,whole pipeline,cell_and_gene_therapy,US,C,cost per approved therapy,1943,USD_million,NA,capitalized,true,NA,per approved cell or gene therapy,"25 assets identified, 11 costed",2023,E-1045,NA
SYS,whole pipeline,not_decomposed,US,T,"total time, clinical testing authorisation to approval",8,years,approximately flat 1983-2018,NA,NA,NA,IND authorisation to approval across all FDA new drug approvals,FDA databases 1984-2018,2020,E-1029,"the single most important time series for H0-a: review time collapsed, total development time did not move"
SYS,whole pipeline,not_decomposed,US,T,"total time, compound synthesis to approval",128.0,months,NA,NA,NA,NA,31.2 months pre-IND plus 96.8 months first-in-human to approval,"106 compounds, 10 firms",2016,E-1005,NA
SYS,whole pipeline,not_decomposed,global,T,"total time, compound synthesis to approval",13.1,years,NA,NA,NA,NA,2.6 years pre-IND plus 10.5 years clinical and review,DiMasi pre-IND clock plus BIO 2011-2020 inter-phase intervals,2021,E-1100;E-1005;E-1025,derived record
SYS,whole pipeline,not_decomposed,global,T,mean clinical development cycle time,100,months,up 7 months versus 2020,NA,NA,NA,"mean clinical cycle length; sponsor-content article, underlying sample not disclosed",not disclosed,2024,E-1037,recorded because it is the only recent datapoint on the direction of clinical cycle time; sample is not published
SYS,whole pipeline,not_decomposed,US,T,pre-IND share of total elapsed development time,24.4,percent,21.2-40.7 across three models,NA,NA,NA,pre-IND months divided by total months to approval,"DiMasi 2016, Sertkaya 2024, Paul 2010",2024,E-1093,derived record; this is the H0-c time ceiling
SYS,whole pipeline,not_decomposed,US,C,pre-IND share of capitalized cost per approval,42.9,percent,40.2-42.9 across two models,capitalized,true,10.5-11.0,preclinical capitalized cost divided by total capitalized cost,DiMasi 2016 and Sertkaya 2024,2024,E-1090;E-1013,derived record; this is the H0-c capitalized cost ceiling
SYS,whole pipeline,not_decomposed,US,C,pre-IND share of out-of-pocket cost per approval,30.8,percent,6.8-30.8 modelled; 12.4 observed in filings,out_of_pocket,false,NA,preclinical cash outlay divided by total cash outlay,"DiMasi 2016, Sertkaya 2024, Wouters 2020",2024,E-1091;E-1013;E-1007,derived record; the cash ceiling is far below the capitalized ceiling
SYS,whole pipeline,not_decomposed,US,T,regulatory review share of total elapsed development time,12.5,percent,11.0-12.5 across two models,NA,NA,NA,review months divided by total months to approval,DiMasi 2016 and Sertkaya 2024,2024,E-1095,derived record; bears directly on whether B5 can be a T constraint
SYS,whole pipeline,not_decomposed,US,C,approvals per billion dollars of PhRMA member R&D,0.37,count_per_USD_billion_nominal,"1.11 (2000), 0.41 (2010), 0.58 (2020), 0.37 (2022)",NA,NA,NA,"US novel drug approvals in year t over PhRMA member R&D in year t, nominal dollars, mismatched numerator and denominator populations",2000-2022,2023,E-1098;E-1038;E-1041,"derived record; NOT a productivity estimate - no deflator, no lag, and the numerator includes non-member sponsors"
SYS,whole pipeline,not_decomposed,US,C,PhRMA member total R&D,100845.2,USD_million_nominal,"26030.8 (2000), 50709.8 (2010), 91126.3 (2020)",out_of_pocket,false,NA,"company-financed R&D by PhRMA members only; excludes non-member biotech, academia and government","self-reported annual survey, 1984-2022",2023,E-1041,NA
SYS,whole pipeline,not_decomposed,US,C,US novel drug approvals per year,50,count,"2000-2024: 29,29,23,27,36,20,22,18,25,26,21,30,39,27,41,45,22,46,59,48,53,50,37,55,50",NA,NA,NA,NDAs and BLAs for products not previously marketed in the US,FDA data processed by Our World in Data,2025,E-1038,2025 CDER figure is 46 (E-1040); 2004-2024 values coincide with CDER published novel-drug counts
SYS,whole pipeline,not_decomposed,US,C,"US new drug and biologic approvals per year, CDER plus CBER",62,count,"2000-2024: 46,35,27,36,38,27,29,24,32,34,28,37,47,37,51,57,30,58,66,55,58,60,45,72,62",NA,NA,NA,CDER NDA/BLA plus CBER biologics including vaccines and gene therapies,FDA data processed by Our World in Data,2025,E-1039,NA
SYS,whole pipeline,not_decomposed,CN,C,NMPA new drug applications approved,228,count,NA,NA,NA,NA,"NDA approvals: 123 chemical, 93 therapeutic biological products, 12 traditional Chinese medicines; broader denominator than FDA novel drugs",2024 calendar year,2025,E-1049,NA
SYS,whole pipeline,not_decomposed,JP-KR,C,PMDA new active substance approvals,53,count,NA,NA,NA,NA,CIRS new active substance definition,2024 calendar year,2025,E-1050,NA
SYS,whole pipeline,not_decomposed,EU,C,EMA new active substance approvals,34,count,NA,NA,NA,NA,CIRS new active substance definition,2024 calendar year,2025,E-1033,NA
